interview_id,source_id,candidate_name,role_norm,role_display,role_family,decision,reason_category,is_requirement_leak,resume_word_count,transcript_word_count
1,KotaSai1,Brinda Pandey,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,300,648
2,KotaSai10,Kairav Basu,project manager,Project Manager,Product & Business,reject,Problem Solving,false,448,658
3,KotaSai100,Pihu Rathore,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,330,660
4,KotaSai101,Kripal Nair,software developer,Software Developer,Software Engineering,select,Culture & Adaptability,false,348,712
5,KotaSai102,Kashvi Verma,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,370,563
6,KotaSai103,Namrata Kumar,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,341,690
7,KotaSai104,Varsha Iyer,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,299,534
8,KotaSai105,Taksha Mittal,software developer,Software Developer,Software Engineering,reject,Leadership & Communication,false,438,889
9,KotaSai106,Aanya Reddy,software developer,Software Developer,Software Engineering,reject,Experience & Domain Fit,false,410,698
10,KotaSai107,Yash Gupta,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,266,710
11,KotaSai108,Ichaa Das,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,280,755
12,KotaSai109,Mahin Singh,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,280,717
13,KotaSai11,Aanya Desai,software developer,Software Developer,Software Engineering,reject,Leadership & Communication,false,433,709
14,KotaSai110,Eashan Basu,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,354,657
15,KotaSai111,Naksh Patel,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,353,709
16,KotaSai112,Kashvi Iyer,project manager,Project Manager,Product & Business,reject,Technical Skills,false,381,719
17,KotaSai113,Ujjwal Singh,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,377,586
18,KotaSai114,Oni Soni,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,303,551
19,KotaSai115,Kashvi Choudhury,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,361,648
20,KotaSai116,Zev Agarwal,software developer,Software Developer,Software Engineering,reject,Leadership & Communication,false,451,688
21,KotaSai117,Vaishnav Saxena,software developer,Software Developer,Software Engineering,select,Culture & Adaptability,false,321,528
22,KotaSai118,Yash Tiwari,software developer,Software Developer,Software Engineering,reject,Experience & Domain Fit,false,443,689
23,KotaSai119,Zev Desai,software developer,Software Developer,Software Engineering,reject,Experience & Domain Fit,false,307,692
24,KotaSai12,Yash Saxena,software developer,Software Developer,Software Engineering,select,Culture & Adaptability,false,307,670
25,KotaSai120,Laksha Kaur,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,369,779
26,KotaSai121,Yashika Dixit,data scientist,Data Scientist,Data & AI,reject,Leadership & Communication,false,487,749
27,KotaSai122,Iksha Garg,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,377,892
28,KotaSai123,Bhuv Naidu,software developer,Software Developer,Software Engineering,reject,Technical Skills,false,384,706
29,KotaSai124,Kamna Patel,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,390,861
30,KotaSai125,Jivin Chawla,project manager,Project Manager,Product & Business,select,Culture & Adaptability,false,408,625
31,KotaSai126,Ishani Pandey,project manager,Project Manager,Product & Business,reject,Technical Skills,false,426,657
32,KotaSai127,Kamna Bansal,software developer,Software Developer,Software Engineering,reject,Leadership & Communication,false,326,591
33,KotaSai128,Ranjita Pandey,software developer,Software Developer,Software Engineering,reject,Leadership & Communication,false,361,708
34,KotaSai129,Palash Sharma,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,315,761
35,KotaSai13,Disha Raj,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,383,696
36,KotaSai130,Fanish Soni,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,298,552
37,KotaSai131,Pratiti Shukla,project manager,Project Manager,Product & Business,reject,Problem Solving,false,424,512
38,KotaSai132,Hyma Patel,data scientist,Data Scientist,Data & AI,reject,Experience & Domain Fit,false,431,773
39,KotaSai133,Hiral Rathore,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,292,643
40,KotaSai134,Grishm Thakur,data scientist,Data Scientist,Data & AI,reject,Technical Skills,false,406,615
41,KotaSai135,Ishani Kaur,software developer,Software Developer,Software Engineering,reject,Experience & Domain Fit,false,339,484
42,KotaSai136,Nakul Seth,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,369,741
43,KotaSai137,Zev Thakur,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,298,643
44,KotaSai138,Zev Soni,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,489,681
45,KotaSai139,Kairav Desai,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,276,706
46,KotaSai14,Praneel Singh,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,292,708
47,KotaSai140,Gyan Mishra,project manager,Project Manager,Product & Business,reject,Problem Solving,false,382,762
48,KotaSai141,Chaaya Kaur,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,410,658
49,KotaSai142,Iksha Kumari,software developer,Software Developer,Software Engineering,reject,Problem Solving,false,365,724
50,KotaSai143,Daiwik Ruparel,software developer,Software Developer,Software Engineering,select,Leadership & Communication,false,260,637
51,KotaSai144,Vanshika Soni,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,373,564
52,KotaSai145,Sweta Agarwal,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,313,717
53,KotaSai146,Praneel Bedi,data scientist,Data Scientist,Data & AI,reject,Leadership & Communication,false,529,934
54,KotaSai147,Manasi Basu,data scientist,Data Scientist,Data & AI,select,Culture & Adaptability,false,328,790
55,KotaSai148,Tuhin Chawla,data scientist,Data Scientist,Data & AI,select,Leadership & Communication,false,315,640
56,KotaSai149,Ritul Kumar,project manager,Project Manager,Product & Business,select,Leadership & Communication,false,323,638
57,KotaSai15,Rachna Basu,data scientist,Data Scientist,Data & AI,reject,Problem Solving,false,382,683
58,KotaSai150,Bani Choudhury,software developer,Software Developer,Software Engineering,reject,Leadership & Communication,false,453,649
